word1,word2,frequency
in,the,30009
of,the,16029
patients,with,10816
and,the,6312
in,patients,6238
to,the,6236
compared,with,6013
for,the,5248
this,study,5239
of,patients,4936
control,group,4874
associated,with,4828
with,the,4780
patients,were,4270
group,and,4267
the,study,4188
on,the,4093
the,primary,3915
the,control,3813
between,the,3675
did,not,3442
study,was,3277
patients,in,3218
at,the,3184
the,intervention,3149
and,in,3085
were,randomized,3059
were,randomly,3051
of,this,2963
there,was,2939
compared,to,2831
was,to,2817
the,treatment,2811
randomized,to,2810
effect,of,2795
controlled,trial,2713
randomly,assigned,2669
to,evaluate,2668
effects,of,2641
two,groups,2587
assigned,to,2574
in,group,2528
in,this,2519
at,baseline,2501
group,the,2478
quality,of,2478
randomized,controlled,2380
will,be,2368
there,were,2314
the,two,2306
adverse,events,2297
of,life,2295
to,be,2277
to,receive,2250
during,the,2239
use,of,2218
double,blind,2190
the,first,2170
the,efficacy,2148
in,both,2143
the,effect,2102
to,assess,2078
treatment,of,2056
total,of,2036
was,significantly,2035
after,the,2005
the,group,1987
to,determine,1980
difference,in,1974
evaluate,the,1961
efficacy,of,1959
and,respectively,1945
number,of,1929
from,the,1917
primary,outcome,1912
risk,of,1903
to,compare,1899
both,groups,1870
the,patients,1862
by,the,1858
changes,in,1851
and,after,1794
patients,who,1791
differences,in,1779
treated,with,1730
confidence,interval,1724
incidence,of,1722
the,effects,1676
was,not,1676
statistically,significant,1675
at,months,1668
significant,difference,1636
significant,differences,1610
clinical,trial,1603
change,in,1587
and,were,1550
based,on,1546
and,to,1544
rate,of,1543
baseline,and,1537
the,mean,1513
of,treatment,1506
placebo,controlled,1474
than,in,1472
used,to,1468
long,term,1466
may,be,1462
were,significantly,1461
aim,of,1449
and,months,1444
effectiveness,of,1441
intervention,group,1422
the,aim,1415
or,placebo,1409
was,the,1408
at,and,1401
levels,of,1394
the,placebo,1391
group,was,1384
and,at,1380
blood,pressure,1364
reduction,in,1350
the,groups,1314
participants,were,1306
increase,in,1303
at,least,1294
from,baseline,1292
to,investigate,1282
assess,the,1280
using,the,1275
placebo,group,1274
to,treat,1262
treatment,group,1238
has,been,1237
and,for,1234
and,safety,1233
treatment,with,1232
significantly,higher,1232
compare,the,1232
improvement,in,1232
was,associated,1227
and,of,1213
the,incidence,1210
according,to,1209
were,observed,1199
with,an,1198
was,significant,1191
end,of,1184
for,patients,1182
efficacy,and,1181
of,and,1176
time,to,1174
were,not,1171
between,groups,1167
dose,of,1167
were,assessed,1152
was,performed,1145
from,to,1145
the,use,1143
that,the,1139
after,treatment,1134
before,and,1128
the,most,1128
groups,the,1127
as,well,1126
the,effectiveness,1117
physical,activity,1106
for,weeks,1070
significantly,lower,1063
well,as,1061
were,enrolled,1059
was,conducted,1056
was,used,1056
group,were,1054
analysis,of,1050
difference,between,1049
trial,was,1047
who,were,1046
group,received,1045
can,be,1042
but,not,1040
the,trial,1028
in,of,1025
and,and,1024
at,week,1019
observed,in,1017
the,end,1017
due,to,1016
and,control,1012
to,and,1007
secondary,outcomes,1007
than,the,1006
group,in,1005
were,similar,999
was,observed,998
the,same,996
outcome,was,995
duration,of,990
safety,of,988
was,assessed,985
